Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_fade_test_summed.pt
P29_03_35564-scour-spatula: 0.6490348463103146
P29_03_35632-pick-up-bowl: 0.035631700079648
P29_04_35774-open-fridge: 0.3776860994184972
P30_03_36639-clean-knife: 0.6313954829165596
P30_04_36678-take-fork: 0.07219394494313747
P30_05_36874-put-onion: 0.7501120585220633
P30_05_36904-chop-onion: 0.7490847899753135
P30_05_36922-chop-onion: 0.911043362430064
P30_05_37020-open-cupboard: 0.8154350316908676
P30_05_37240-open-cupboard: 0.8624078785360325
P30_05_37272-wash-spoon: 0.078328309379458
P30_05_37511-take-plate: 0.45870850735809654
P30_05_37535-empty-bottle: 0.7760510261723539
P30_06_37605-dry-fork: 0.032721641815442126
P30_06_37668-rinse-plate: 0.810591624234803
P30_06_37674-rinse-bowl: 0.5213367093956549
P30_10_38341-take-spoon: 0.8939451651967829
P30_10_38504-rinse-fork: 0.0010571235518099797
P30_10_38535-take-spoon: 0.8548892331164097
P30_10_38579-rinse-sponge: 0.1891954597995209
P30_11_38596-rinse-plate: 0.7681259334785864
P30_11_38661-wash-spoon: 0.7871869874506956
P30_11_38673-rise-sponge: 0.09569429285329534
P31_01_38722-take-glass: 0.0708881999598816
P31_08_38926-open-fridge: 0.15121949304739246
P31_08_38943-open-fridge: 0.564104020864761
Finished: cm_16, ins, most_first, epic, r2p1d, perturb, #Step=128
Average: 0.4548875806041991
